                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76256,                 1.1551,                0.93158,                0.79779,                0.73739,                0.88432,                0.59427,                0.98792,                 1.8896,                 1.1022,              0.0011059,              0.0011059,              0.0011059
                     36,                0.81672,                 1.1899,                0.94928,                0.79048,                0.82475,                0.87993,                0.63572,                 1.0466,                 1.7178,                 1.1246,              0.0010894,              0.0010894,              0.0010894
                     37,                0.73626,                 1.1527,                0.94152,                0.89957,                  0.862,                0.93574,                0.68864,                0.97646,                 1.5064,                 1.0649,              0.0010729,              0.0010729,              0.0010729
                     38,                0.78606,                 1.1644,                 0.9509,                0.90895,                0.78607,                0.90018,                0.65484,                 1.0118,                 1.5215,                 1.0787,              0.0010564,              0.0010564,              0.0010564
                     39,                0.74345,                 1.0515,                0.93931,                0.80358,                0.81973,                0.89909,                 0.6507,                 1.0186,                 1.4793,                 1.0951,              0.0010399,              0.0010399,              0.0010399
                     40,                0.74237,                 1.0553,                0.93429,                0.85256,                0.81026,                0.85257,                 0.5997,                 1.0391,                 1.6297,                 1.1093,              0.0010234,              0.0010234,              0.0010234
                     41,                0.74027,                 1.0583,                0.93321,                 0.8418,                0.75989,                0.85374,                0.61699,                 1.0177,                 1.6623,                 1.1002,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.7193,                 1.0031,                0.90034,                0.76163,                0.74592,                0.82749,                0.59232,                 1.0219,                 1.5949,                 1.1246,             0.00099036,             0.00099036,             0.00099036
                     43,                0.71088,                0.96602,                0.91308,                0.92556,                0.63765,                0.81571,                 0.5768,                 1.0231,                 1.5004,                 1.1088,             0.00097386,             0.00097386,             0.00097386
                     44,                0.74299,                 1.0356,                0.92131,                 0.9718,                0.67292,                0.86506,                0.61743,                 1.0222,                 1.5434,                 1.1177,             0.00095736,             0.00095736,             0.00095736
                     45,                0.72244,                0.98136,                0.92364,                0.88461,                0.74476,                0.88642,                0.63385,                 1.0461,                  1.407,                 1.1167,             0.00094085,             0.00094085,             0.00094085
                     46,                0.69348,                0.95417,                0.90357,                0.90147,                0.82005,                0.87391,                 0.6165,                 1.1005,                  1.461,                 1.1141,             0.00092435,             0.00092435,             0.00092435
                     47,                0.73047,                 1.0826,                0.93228,                0.88077,                0.82604,                0.90123,                0.62815,                 1.1236,                 1.4643,                 1.1262,             0.00090785,             0.00090785,             0.00090785
                     48,                0.71541,                 0.9553,                0.90486,                0.92619,                0.83743,                0.89949,                 0.6212,                 1.1757,                 1.3901,                 1.1515,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.6496,                 0.9792,                0.89846,                 0.8281,                0.85315,                0.88345,                0.60877,                 1.1811,                 1.3276,                 1.1554,             0.00087484,             0.00087484,             0.00087484
                     50,                0.63755,                0.85662,                 0.8885,                 0.7891,                 0.8375,                0.85656,                 0.5887,                 1.1728,                 1.4041,                  1.154,             0.00085834,             0.00085834,             0.00085834
                     51,                0.66411,                0.83697,                0.89096,                0.76867,                0.84924,                0.84608,                0.58806,                  1.125,                  1.398,                 1.1329,             0.00084184,             0.00084184,             0.00084184
                     52,                0.70769,                0.87295,                0.90618,                0.81638,                0.73984,                 0.8241,                0.58296,                  1.119,                 1.4374,                 1.1514,             0.00082533,             0.00082533,             0.00082533
                     53,                0.63802,                0.87012,                0.87731,                0.91757,                0.71042,                0.81234,                0.56983,                 1.1519,                 1.4774,                 1.1587,             0.00080883,             0.00080883,             0.00080883
                     54,                 0.6858,                0.84753,                0.90452,                0.84009,                0.79271,                0.85451,                 0.6394,                  1.086,                 1.3628,                 1.1253,             0.00079233,             0.00079233,             0.00079233
                     55,                0.63689,                0.79207,                0.87586,                0.87623,                0.78358,                0.88554,                0.65454,                 1.0694,                 1.2533,                 1.1098,             0.00077582,             0.00077582,             0.00077582
                     56,                0.62828,                0.77192,                0.86806,                0.90266,                0.78667,                0.88815,                0.65463,                  1.042,                 1.1943,                 1.0919,             0.00075932,             0.00075932,             0.00075932
                     57,                0.62005,                0.79376,                0.88887,                0.93837,                 0.7346,                0.87007,                0.63754,                 1.0671,                 1.1973,                 1.1051,             0.00074282,             0.00074282,             0.00074282
                     58,                0.61799,                0.78732,                0.87152,                0.97141,                0.79108,                 0.9029,                0.66962,                 1.0118,                  1.073,                 1.0723,             0.00072631,             0.00072631,             0.00072631
                     59,                0.61182,                 0.7678,                0.88056,                0.90474,                 0.8192,                0.90153,                 0.6731,                0.97434,                 1.0166,                 1.0519,             0.00070981,             0.00070981,             0.00070981
                     60,                0.60907,                0.79379,                0.87684,                0.87184,                0.81804,                0.89198,                0.67216,                0.97003,                 1.0625,                 1.0577,             0.00069331,             0.00069331,             0.00069331
                     61,                0.64367,                0.81927,                0.88912,                0.90904,                0.80478,                0.88415,                0.66331,                 1.0035,                 1.0851,                 1.0593,              0.0006768,              0.0006768,              0.0006768
